ID,旧ID(内部ドラフト・変更時のみ),原文書ID,区分,カテゴリ,コントロール名,status,lineage,control-type,ai-scope
AIMF-ID-AST-002,,aimf-1.2.2,ID,AST,RAG知識ベース・データソースの棚卸し,existing,baseline,AI-Enhancement,generative-ai
AIMF-ID-AST-003,,aimf-1.2.3,ID,AST,AIエージェントの権限・ツールトポロジー管理,existing,baseline,AI-Expansion,"ai-agent,multi-agent"
AIMF-ID-AST-004,,aimf-1.2.4,ID,AST,AIインフラ資産（GPU・計算リソース・ストレージ）の棚卸し,existing,baseline,AI-Enhancement,all
AIMF-ID-AST-005,,,ID,AST,プロンプト・システムプロンプト資産の台帳管理,gap-recommended,extended,AI-Expansion,"generative-ai,ai-agent,multi-agent"
AIMF-ID-AST-006,,,ID,AST,AIデータフローマッピング,gap-recommended,extended,AI-Enhancement,all
AIMF-ID-AST-007,,,ID,AST,シャドーAI・未承認利用の継続的検出,gap-recommended,extended,AI-Enhancement,all
AIMF-ID-AST-008,,,ID,AST,エンドポイントAI機能・ブラウザ拡張の把握,gap-recommended,extended,AI-Enhancement,all
AIMF-ID-CTX-001,,,ID,CTX,AIユースケース登録と事業オーナーの明確化,gap-recommended,extended,AI-Enhancement,all
AIMF-ID-CTX-002,,,ID,CTX,ユースケースのクリティカリティ判定,gap-recommended,extended,AI-Enhancement,all
AIMF-ID-CTX-003,,,ID,CTX,AI障害時の業務影響分析（BIA）,gap-recommended,extended,AI-Enhancement,all
AIMF-ID-CTX-004,,,ID,CTX,非AI代替手段の維持判断,gap-recommended,extended,AI-Expansion,all
AIMF-ID-SCM-001,,aimf-1.3.1,ID,SCM,AIセキュリティのベンダー評価と管理,existing,baseline,AI-Enhancement,all
AIMF-ID-SCM-002,,aimf-1.3.2,ID,SCM,SBOMの自動生成・継続的管理,existing,baseline,AI-Enhancement,all
AIMF-ID-SCM-003,,aimf-1.3.3,ID,SCM,AI-BOMによるAI特有資産の管理,existing,baseline,AI-Expansion,all
AIMF-ID-SCM-004,,,ID,SCM,モデル・データセット供給元の来歴検証,gap-recommended,extended,AI-Expansion,all
AIMF-ID-SCM-005,,,ID,SCM,MCPサーバー・プラグイン・エージェントツールの事前審査,gap-recommended,extended,AI-Expansion,"ai-agent,multi-agent"
AIMF-ID-SCM-006,,,ID,SCM,AIサービスの集中リスク評価,gap-recommended,extended,AI-Enhancement,all
AIMF-ID-SCM-007,,,ID,SCM,AI調達契約のセキュリティ・責任分界条項,gap-recommended,extended,AI-Enhancement,all
AIMF-ID-SCM-008,,,ID,SCM,オープンウェイトモデル利用時の評価基準,gap-recommended,extended,AI-Expansion,all
AIMF-ID-DGV-001,,aimf-1.5.1,ID,DGV,学習・チューニングデータのガバナンス,gap-recommended,baseline,AI-Expansion,"traditional-ai,generative-ai"
AIMF-ID-DGV-002,,,ID,DGV,データ分類とAI利用可否ラベル,gap-recommended,extended,AI-Enhancement,all
AIMF-ID-DGV-003,,,ID,DGV,学習・RAGデータの来歴（プロビナンス）記録,gap-recommended,extended,AI-Expansion,"traditional-ai,generative-ai"
AIMF-ID-DGV-004,,,ID,DGV,合成データの生成・利用統制,gap-recommended,extended,AI-Expansion,"traditional-ai,generative-ai"
AIMF-ID-DGV-005,,,ID,DGV,データ保持・削除ポリシーのAIパイプライン適用,gap-recommended,extended,AI-Enhancement,all
AIMF-ID-THR-001,,,ID,THR,MITRE ATLASに基づくAI脅威モデリング,gap-recommended,extended,AI-Expansion,all
AIMF-ID-THR-002,,,ID,THR,エージェントシステムのアタックサーフェス分析,gap-recommended,extended,AI-Expansion,"ai-agent,multi-agent"
AIMF-ID-THR-003,,,ID,THR,AI脅威インテリジェンスの収集・共有,gap-recommended,extended,AI-Enhancement,all
AIMF-ID-THR-004,,,ID,THR,AI脅威シナリオライブラリの整備,gap-recommended,extended,AI-Expansion,all
AIMF-PR-VUL-001,,aimf-2.1.1,PR,VUL,脆弱性トリアージ自動化プロセス,existing,baseline,AI-Enhancement,all
AIMF-PR-VUL-002,,aimf-2.1.2,PR,VUL,IaCによる迅速な脆弱性適用基盤,existing,baseline,AI-Enhancement,all
AIMF-PR-VUL-003,,aimf-2.1.3,PR,VUL,コンテナイメージの自動パッチ適用パイプライン,existing,baseline,AI-Enhancement,all
AIMF-PR-VUL-004,,,PR,VUL,仮想パッチ・緩和策の適用,gap-recommended,extended,AI-Enhancement,all
AIMF-PR-VUL-005,,,PR,VUL,EOL・レガシーAIコンポーネントの管理,gap-recommended,extended,AI-Enhancement,all
AIMF-PR-INF-001,,aimf-2.2.1,PR,INF,AIネットワーク環境の閉域化,existing,baseline,AI-Enhancement,all
AIMF-PR-INF-002,,aimf-2.2.2,PR,INF,コンテナ・オーケストレーション基盤の堅牢化,existing,baseline,AI-Enhancement,all
AIMF-PR-INF-003,,aimf-2.2.3,PR,INF,ストレージ・データの暗号化（データ・アット・レスト）,existing,baseline,AI-Enhancement,all
AIMF-PR-INF-004,,,PR,INF,GPU・アクセラレータのマルチテナント分離,gap-recommended,extended,AI-Expansion,all
AIMF-PR-INF-005,,,PR,INF,推論エンドポイント・モデルAPIの保護,gap-recommended,extended,AI-Enhancement,all
AIMF-PR-INF-006,,,PR,INF,開発・学習環境と本番環境の分離,gap-recommended,extended,AI-Enhancement,all
AIMF-PR-INF-007,,,PR,INF,AIリソース設定のセキュリティベースライン,gap-recommended,extended,AI-Enhancement,all
AIMF-PR-IAM-001,,aimf-2.3.1,PR,IAM,RAGデータアクセス権（ACL）の同期,existing,baseline,AI-Expansion,generative-ai
AIMF-PR-IAM-002,,aimf-2.3.2,PR,IAM,AIエージェントへの最小権限原則の適用,existing,baseline,AI-Expansion,"ai-agent,multi-agent"
AIMF-PR-IAM-003,,aimf-2.3.3,PR,IAM,AIクレデンシャル・APIキーの暗号化管理,existing,baseline,AI-Enhancement,all
AIMF-PR-IAM-004,,,PR,IAM,フィッシング耐性MFAの適用（AI管理者・特権）,gap-recommended,extended,AI-Enhancement,all
AIMF-PR-IAM-005,,,PR,IAM,エージェント・サービスアカウントのライフサイクル管理,gap-recommended,extended,AI-Expansion,"ai-agent,multi-agent"
AIMF-PR-IAM-006,,,PR,IAM,短命トークン・タスクバウンド認可,gap-recommended,extended,AI-Expansion,"ai-agent,multi-agent"
AIMF-PR-IAM-007,,,PR,IAM,動的な権限昇格の禁止とJITアクセス,gap-recommended,extended,AI-Expansion,"ai-agent,multi-agent"
AIMF-PR-IAM-008,,,PR,IAM,AIプラットフォームのRBAC/ABAC設計,gap-recommended,extended,AI-Enhancement,all
AIMF-PR-DAT-001,,,PR,DAT,プロンプト・出力へのDLP統制,gap-recommended,extended,AI-Expansion,"generative-ai,ai-agent"
AIMF-PR-DAT-002,,,PR,DAT,学習・RAG投入前の仮名化・匿名化,gap-recommended,extended,AI-Expansion,"traditional-ai,generative-ai"
AIMF-PR-DAT-003,,,PR,DAT,出力データへの機密区分の継承,gap-recommended,extended,AI-Expansion,"generative-ai,ai-agent"
AIMF-PR-DAT-004,,,PR,DAT,モデル重み・チェックポイントの厳格アクセス管理,gap-recommended,extended,AI-Expansion,all
AIMF-PR-DAT-005,,,PR,DAT,機密コンピューティングによる推論保護,gap-recommended,extended,AI-Expansion,all
AIMF-PR-MDL-001,,aimf-2.8.1,PR,MDL,モデルライフサイクル管理・リリース前評価,gap-recommended,baseline,AI-Expansion,all
AIMF-PR-MDL-002,,aimf-2.8.3,PR,MDL,モデル成果物の完全性保護,gap-recommended,baseline,AI-Expansion,all
AIMF-PR-MDL-003,,,PR,MDL,セキュア学習パイプラインの統制,gap-recommended,extended,AI-Expansion,"traditional-ai,generative-ai"
AIMF-PR-MDL-004,,,PR,MDL,モデルレジストリ統制（承認済みモデルのみデプロイ）,gap-recommended,extended,AI-Expansion,all
AIMF-PR-MDL-005,,,PR,MDL,ファインチューニング・継続学習の変更管理,gap-recommended,extended,AI-Expansion,generative-ai
AIMF-PR-MDL-006,,,PR,MDL,量子化・蒸留・最適化後の安全性再評価,gap-recommended,extended,AI-Expansion,all
AIMF-PR-MDL-007,,,PR,MDL,システムプロンプトの版管理と保護,gap-recommended,extended,AI-Expansion,"generative-ai,ai-agent"
AIMF-PR-RED-001,,aimf-2.4.1,PR,RED,AIレッドチーミングの定期的実施,existing,baseline,AI-Expansion,"generative-ai,ai-agent,multi-agent"
AIMF-PR-RED-002,,aimf-2.4.2,PR,RED,自動化されたAI脆弱性スキャン（LLM-assisted Red Teaming）,existing,baseline,AI-Expansion,"generative-ai,ai-agent"
AIMF-PR-RED-003,,aimf-2.4.3,PR,RED,RAG知識ベースの動的スキャン,existing,baseline,AI-Expansion,generative-ai
AIMF-PR-RED-004,,,PR,RED,リリース前の安全性・セキュリティ評価スイート,gap-recommended,extended,AI-Expansion,all
AIMF-PR-RED-005,,,PR,RED,CI/CDへの継続的評価（eval）の組み込み,gap-recommended,extended,AI-Expansion,"generative-ai,ai-agent"
AIMF-PR-RED-006,,,PR,RED,ATLASベースの敵対的演習,gap-recommended,extended,AI-Expansion,all
AIMF-PR-GRD-001,,aimf-2.5.1,PR,GRD,多層インライン・ガードレール（入出力フィルタ）の実装,existing,baseline,AI-Expansion,"generative-ai,ai-agent"
AIMF-PR-GRD-002,,aimf-2.5.2,PR,GRD,AIエージェント実行環境の隔離（サンドボックス化）,existing,baseline,AI-Enhancement,"ai-agent,multi-agent"
AIMF-PR-GRD-003,,aimf-2.5.3,PR,GRD,Human-in-the-Loopのシステム強制,existing,baseline,AI-Expansion,"ai-agent,multi-agent"
AIMF-PR-GRD-004,,,PR,GRD,出力の安全な取扱い（Improper Output Handling対策）,gap-recommended,extended,AI-Expansion,"generative-ai,ai-agent"
AIMF-PR-GRD-005,,,PR,GRD,構造化出力・スキーマ検証の強制,gap-recommended,extended,AI-Expansion,"generative-ai,ai-agent,multi-agent"
AIMF-PR-GRD-006,,,PR,GRD,過剰な自律性（Excessive Agency）の制限,gap-recommended,extended,AI-Expansion,"generative-ai,ai-agent,multi-agent"
AIMF-PR-GRD-007,,,PR,GRD,RAGコンテキストの検証と出典の強制,gap-recommended,extended,AI-Expansion,generative-ai
AIMF-PR-GRD-008,,,PR,GRD,リソース消費上限の強制（Unbounded Consumption対策）,gap-recommended,extended,AI-Expansion,"generative-ai,ai-agent,multi-agent"
AIMF-PR-AGT-001,,aimf-2.8.4,PR,AGT,エージェントID管理・相互認証,gap-recommended,baseline,AI-Expansion,"ai-agent,multi-agent"
AIMF-PR-AGT-002,,aimf-2.8.5,PR,AGT,MCP等ツール接続プロトコルのセキュリティ,gap-recommended,baseline,AI-Expansion,"ai-agent,multi-agent"
AIMF-PR-AGT-003,,aimf-2.8.6,PR,AGT,エージェントメモリ（長期記憶）の保護と汚染対策,gap-recommended,baseline,AI-Expansion,"ai-agent,multi-agent"
AIMF-PR-AGT-004,,,PR,AGT,最小エージェンシー原則（行動範囲・目標境界の定義）,gap-recommended,extended,AI-Expansion,"ai-agent,multi-agent"
AIMF-PR-AGT-005,,,PR,AGT,ツールACLマトリクスによる呼出可否管理,gap-recommended,extended,AI-Expansion,"ai-agent,multi-agent"
AIMF-PR-AGT-006,,,PR,AGT,タスク計画の事前検証と逸脱制御,gap-recommended,extended,AI-Expansion,"ai-agent,multi-agent"
AIMF-PR-AGT-007,,,PR,AGT,エージェント生成コードの実行統制,gap-recommended,extended,AI-Expansion,"ai-agent,multi-agent"
AIMF-PR-AGT-008,,,PR,AGT,委任チェーン・エージェント間信頼境界の設計,gap-recommended,extended,AI-Expansion,multi-agent
AIMF-PR-AGT-009,,,PR,AGT,エージェント設定のセキュアベースライン,gap-recommended,extended,AI-Expansion,"ai-agent,multi-agent"
AIMF-PR-AGT-010,,,PR,AGT,オーケストレーターの単一障害点・乗っ取り対策,gap-recommended,extended,AI-Expansion,multi-agent
AIMF-PR-HOV-001,,aimf-2.8.7,PR,HOV,人間による監督（Human Oversight）の全体設計,gap-recommended,baseline,AI-Expansion,all
AIMF-PR-HOV-002,,,PR,HOV,監督者の力量要件と自動化バイアス対策,gap-recommended,extended,AI-Expansion,all
AIMF-PR-HOV-003,,,PR,HOV,人間・エージェント間の信頼悪用対策,gap-recommended,extended,AI-Expansion,"ai-agent,multi-agent"
AIMF-PR-ADV-001,,aimf-2.8.2,PR,ADV,従来型ML特有の敵対的攻撃対策,gap-recommended,baseline,AI-Expansion,traditional-ai
AIMF-PR-ADV-002,,,PR,ADV,モデル抽出・スティーリング対策,gap-recommended,extended,AI-Expansion,"traditional-ai,generative-ai"
AIMF-PR-ADV-003,,,PR,ADV,メンバーシップ推論・モデル反転対策,gap-recommended,extended,AI-Expansion,traditional-ai
AIMF-PR-ADV-004,,,PR,ADV,回避攻撃（敵対的サンプル）対策,gap-recommended,extended,AI-Expansion,traditional-ai
AIMF-PR-CAI-001,,aimf-2.6.1,PR,CAI,フィッシング・標的型攻撃対策の高度化（対AI攻撃）,existing,baseline,AI-Enhancement,all
AIMF-PR-CAI-002,,aimf-2.6.2,PR,CAI,MFAにおける生体・音声認証の見直し（対ディープフェイク）,existing,baseline,AI-Enhancement,all
AIMF-PR-CAI-003,,aimf-2.6.3,PR,CAI,AI前提のパスワードレス認証・セキュアコーディング,existing,baseline,AI-Enhancement,all
AIMF-PR-CAI-004,,,PR,CAI,ディープフェイク詐欺対策の業務プロセス,gap-recommended,extended,AI-Enhancement,all
AIMF-PR-CAI-005,,,PR,CAI,AI生成フィッシング対策とメール認証の強化,gap-recommended,extended,AI-Enhancement,all
AIMF-PR-CAI-006,,,PR,CAI,アタックサーフェス削減とゼロトラスト移行,gap-recommended,extended,AI-Enhancement,all
AIMF-PR-CAI-007,,,PR,CAI,AI加速攻撃を想定したパッチSLAの短縮,gap-recommended,extended,AI-Enhancement,all
AIMF-PR-EDU-001,,aimf-2.7.1,PR,EDU,層別AIセキュリティ教育の徹底,existing,baseline,AI-Enhancement,all
AIMF-PR-EDU-002,,,PR,EDU,開発者向けセキュアAI開発研修,gap-recommended,extended,AI-Enhancement,all
AIMF-PR-EDU-003,,,PR,EDU,AI生成ソーシャルエンジニアリング対応訓練,gap-recommended,extended,AI-Enhancement,all
AIMF-PR-EDU-004,,,PR,EDU,経営層向けAIサイバーリスクブリーフィング,gap-recommended,extended,AI-Enhancement,all
AIMF-DE-VUL-001,,aimf-3.1.1,DE,VUL,SBOM/AI-BOMの継続的脆弱性スキャン,existing,baseline,AI-Enhancement,all
AIMF-DE-VUL-002,,,DE,VUL,悪性パッケージ・依存関係侵害の検知,gap-recommended,extended,AI-Enhancement,all
AIMF-DE-VUL-003,,,DE,VUL,モデルレジストリ・リポジトリの改ざん検知,gap-recommended,extended,AI-Expansion,all
AIMF-DE-IOM-001,,aimf-3.2.1,DE,IOM,セマンティック・アノマリー検知,existing,baseline,AI-Expansion,"generative-ai,ai-agent"
AIMF-DE-IOM-002,,aimf-3.2.2,DE,IOM,LLM監査ログ（プロンプト・レスポンス）の一元記録,existing,baseline,AI-Expansion,"generative-ai,ai-agent,multi-agent"
AIMF-DE-IOM-003,,aimf-3.2.3,DE,IOM,ハルシネーション・信頼度の動的監視,existing,baseline,AI-Expansion,generative-ai
AIMF-DE-IOM-004,,,DE,IOM,プロンプトインジェクション検知ルールの管理,gap-recommended,extended,AI-Expansion,"generative-ai,ai-agent"
AIMF-DE-IOM-005,,,DE,IOM,脱獄・ポリシー回避試行のスコアリング検知,gap-recommended,extended,AI-Expansion,"generative-ai,ai-agent"
AIMF-DE-IOM-006,,,DE,IOM,出力へのPII・機微情報混入検知,gap-recommended,extended,AI-Expansion,"generative-ai,ai-agent"
AIMF-DE-IOM-007,,,DE,IOM,システムプロンプト漏えい・プローブの検知,gap-recommended,extended,AI-Expansion,"generative-ai,ai-agent"
AIMF-DE-IOM-008,,,DE,IOM,利用者行動分析（UEBA）によるAI悪用検知,gap-recommended,extended,AI-Enhancement,all
AIMF-DE-AGT-001,,aimf-3.3.1,DE,AGT,エージェント状態遷移・思考プロセスの可視化監視,existing,baseline,AI-Expansion,"ai-agent,multi-agent"
AIMF-DE-AGT-002,,aimf-3.3.2,DE,AGT,エージェント間通信の相互セキュリティスキャン,existing,baseline,AI-Expansion,multi-agent
AIMF-DE-AGT-003,,,DE,AGT,ツール呼出の異常検知,gap-recommended,extended,AI-Expansion,"ai-agent,multi-agent"
AIMF-DE-AGT-004,,,DE,AGT,目標逸脱（ゴールドリフト）の検知,gap-recommended,extended,AI-Expansion,"ai-agent,multi-agent"
AIMF-DE-AGT-005,,,DE,AGT,暴走・連鎖障害の予兆検知,gap-recommended,extended,AI-Expansion,"ai-agent,multi-agent"
AIMF-DE-AGT-006,,,DE,AGT,エージェントメモリ・コンテキスト改ざんの検知,gap-recommended,extended,AI-Expansion,"ai-agent,multi-agent"
AIMF-DE-AGT-007,,,DE,AGT,ローグエージェント（逸脱挙動）の検知,gap-recommended,extended,AI-Expansion,"ai-agent,multi-agent"
AIMF-DE-HLT-001,,aimf-3.4.1,DE,HLT,AIインフラ構成監査とリソース監視（DoS検知）,existing,baseline,AI-Enhancement,all
AIMF-DE-HLT-002,,aimf-3.4.2,DE,HLT,データポイズニング・ドリフトの監視,existing,baseline,AI-Expansion,"generative-ai,traditional-ai"
AIMF-DE-HLT-003,,,DE,HLT,モデル性能・品質劣化の継続監視,gap-recommended,extended,AI-Expansion,all
AIMF-DE-HLT-004,,,DE,HLT,埋め込み空間・ベクトルDBの異常検知,gap-recommended,extended,AI-Expansion,generative-ai
AIMF-DE-HLT-005,,,DE,HLT,GPUリソースの不正利用検知,gap-recommended,extended,AI-Enhancement,all
AIMF-DE-HLT-006,,,DE,HLT,AI利用コスト・トークン消費の異常監視,gap-recommended,extended,AI-Expansion,"generative-ai,ai-agent,multi-agent"
AIMF-DE-SOC-001,,,DE,SOC,AIテレメトリのSIEM統合と相関分析,gap-recommended,extended,AI-Enhancement,all
AIMF-DE-SOC-002,,,DE,SOC,ATLAS対応の検知ルールカバレッジ管理,gap-recommended,extended,AI-Expansion,all
AIMF-DE-SOC-003,,,DE,SOC,AIアラートのトリアージ基準,gap-recommended,extended,AI-Enhancement,all
AIMF-DE-SOC-004,,,DE,SOC,AI環境の脅威ハンティング,gap-recommended,extended,AI-Enhancement,all
AIMF-DE-SOC-005,,,DE,SOC,検知有効性の定期テスト,gap-recommended,extended,AI-Enhancement,all
AIMF-DE-LOG-001,,,DE,LOG,AIコンポーネント横断のログ標準化,gap-recommended,extended,AI-Enhancement,all
AIMF-DE-LOG-002,,,DE,LOG,ログの完全性保護,gap-recommended,extended,AI-Enhancement,all
AIMF-DE-LOG-003,,,DE,LOG,ログ保持とプライバシーの両立,gap-recommended,extended,AI-Enhancement,all
AIMF-RS-IRP-001,,aimf-4.1.1,RS,IRP,CSIRTのAI拡張とプレイブック整備,existing,baseline,AI-Enhancement,all
AIMF-RS-IRP-002,,aimf-4.1.2,RS,IRP,セキュリティ運用の自動化（SOAR）,existing,baseline,AI-Enhancement,all
AIMF-RS-IRP-003,,aimf-4.1.3,RS,IRP,動的レートリミットと攻撃主体の自動隔離,existing,baseline,AI-Enhancement,"generative-ai,ai-agent"
AIMF-RS-IRP-004,,,RS,IRP,AI固有インシデントの分類・重大度基準,gap-recommended,extended,AI-Expansion,all
AIMF-RS-IRP-005,,,RS,IRP,AIインシデント対応プレイブック群,gap-recommended,extended,AI-Expansion,all
AIMF-RS-IRP-006,,,RS,IRP,AIシナリオの机上演習・実地訓練,gap-recommended,extended,AI-Enhancement,all
AIMF-RS-IRP-007,,,RS,IRP,プロバイダーとのインシデント連携体制,gap-recommended,extended,AI-Enhancement,all
AIMF-RS-IRP-008,,,RS,IRP,インシデント時のサービス停止判断権限,gap-recommended,extended,AI-Enhancement,all
AIMF-RS-CON-001,,aimf-4.2.1,RS,CON,AIエージェントのキルスイッチ実装,existing,baseline,AI-Expansion,"ai-agent,multi-agent"
AIMF-RS-CON-002,,aimf-4.2.2,RS,CON,インフラ通信・データアクセスの即時遮断,existing,baseline,AI-Enhancement,all
AIMF-RS-CON-003,,,RS,CON,侵害モデルのロールバック,gap-recommended,extended,AI-Expansion,all
AIMF-RS-CON-004,,,RS,CON,エージェント資格情報の即時失効・一括ローテーション,gap-recommended,extended,AI-Expansion,"ai-agent,multi-agent"
AIMF-RS-CON-005,,,RS,CON,汚染RAGソース・メモリの隔離・検疫,gap-recommended,extended,AI-Expansion,"generative-ai,ai-agent,multi-agent"
AIMF-RS-RPT-001,,aimf-4.3.1,RS,RPT,インシデントの外部報告・ステークホルダー通知,gap-recommended,baseline,AI-Enhancement,all
AIMF-RS-RPT-002,,,RS,RPT,個人情報漏えい等の当局報告,gap-recommended,extended,AI-Enhancement,all
AIMF-RS-RPT-003,,,RS,RPT,顧客・利用者への通知計画,gap-recommended,extended,AI-Enhancement,all
AIMF-RS-RPT-004,,,RS,RPT,開示・広報対応の判断基準,gap-recommended,extended,AI-Enhancement,all
AIMF-RS-ANL-001,,,RS,ANL,AI固有の根本原因分析,gap-recommended,extended,AI-Expansion,all
AIMF-RS-ANL-002,,,RS,ANL,インシデントのATLASマッピング,gap-recommended,extended,AI-Expansion,all
AIMF-RS-ANL-003,,,RS,ANL,分析結果の防御・検知への反映,gap-recommended,extended,AI-Enhancement,all
AIMF-RC-RES-001,,aimf-5.1.1,RC,RES,CI/CD連動のゼロタッチ・パッチ適用,existing,baseline,AI-Enhancement,all
AIMF-RC-RES-002,,aimf-5.1.2,RC,RES,RAG知識ベース・インフラ構成の高速復元,existing,baseline,AI-Enhancement,generative-ai
AIMF-RC-RES-003,,aimf-5.1.3,RC,RES,AI説明責任のためのフォレンジック体制,existing,baseline,AI-Expansion,all
AIMF-RC-RES-004,,,RC,RES,クリーンデータからのモデル再構築手順,gap-recommended,extended,AI-Expansion,"traditional-ai,generative-ai"
AIMF-RC-RES-005,,,RC,RES,代替モデル・プロバイダーへのフェイルオーバー,gap-recommended,extended,AI-Expansion,all
AIMF-RC-RES-006,,,RC,RES,AI停止時の縮退運転手順,gap-recommended,extended,AI-Expansion,all
AIMF-RC-RES-007,,,RC,RES,AIシステムのBCP・DR統合,gap-recommended,extended,AI-Enhancement,all
AIMF-RC-CIM-001,,aimf-5.2.1,RC,CIM,AIセキュリティKPIの設定と評価,existing,baseline,AI-Enhancement,all
AIMF-RC-CIM-002,,aimf-5.2.2,RC,CIM,ベストプラクティス・教訓のドキュメント化,existing,baseline,AI-Enhancement,all
AIMF-RC-CIM-003,,aimf-5.2.3,RC,CIM,AIセキュリティのトレンド分析と将来予測,existing,baseline,AI-Enhancement,all
